时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-27T02:44:22.103Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0278,-0.06,-0.12,0.00,-0.03,-0.23,79.42
"2025-05-27T02:44:22.111Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0010,1.0239,-0.49,-0.06,-0.12,-0.09,-0.23,55.39
"2025-05-27T02:44:22.137Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0039,-0.0015,1.0234,-0.49,-0.12,-0.18,-0.09,-0.23,55.39
"2025-05-27T02:44:22.160Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0015,1.0234,-0.49,-0.06,-0.18,-0.09,-0.23,55.40
"2025-05-27T02:44:22.181Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0278,-0.06,-0.12,0.00,-0.03,-0.23,79.41
"2025-05-27T02:44:22.204Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0283,0.00,-0.12,0.06,-0.03,-0.23,79.41
"2025-05-27T02:44:22.207Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0015,1.0234,-0.49,-0.12,-0.12,-0.09,-0.23,55.40
"2025-05-27T02:44:22.249Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0034,0.0000,1.0278,-0.06,-0.12,0.00,-0.03,-0.23,79.41
"2025-05-27T02:44:22.294Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0288,-0.06,-0.12,0.00,-0.03,-0.23,79.41
"2025-05-27T02:44:22.294Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0020,1.0239,-0.49,-0.06,-0.12,-0.09,-0.23,55.40
"2025-05-27T02:44:22.340Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0039,-0.0020,1.0234,-0.49,-0.06,-0.18,-0.09,-0.23,55.40
"2025-05-27T02:44:22.373Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0278,-0.06,-0.12,0.00,-0.03,-0.23,79.40
"2025-05-27T02:44:22.375Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0010,1.0239,-0.49,-0.12,-0.12,-0.09,-0.23,55.40
"2025-05-27T02:44:22.410Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0034,0.0000,1.0283,0.00,-0.12,0.00,-0.03,-0.23,79.40
"2025-05-27T02:44:22.414Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0015,1.0239,-0.49,-0.12,-0.18,-0.09,-0.23,55.41
"2025-05-27T02:44:22.462Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0034,0.0000,1.0278,0.00,-0.12,0.00,-0.03,-0.23,79.40
"2025-05-27T02:44:22.496Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0273,0.00,-0.12,0.00,-0.03,-0.23,79.39
"2025-05-27T02:44:22.499Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0039,-0.0010,1.0244,-0.49,-0.12,-0.12,-0.09,-0.23,55.41
"2025-05-27T02:44:22.562Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0034,-0.0015,1.0244,-0.49,-0.06,-0.12,-0.09,-0.23,55.41
"2025-05-27T02:44:22.568Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0283,0.00,-0.12,0.00,-0.03,-0.23,79.39
"2025-05-27T02:44:22.572Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0020,1.0239,-0.49,-0.06,-0.18,-0.09,-0.23,55.41
"2025-05-27T02:44:22.619Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,-0.0005,1.0283,-0.06,-0.18,0.00,-0.03,-0.23,79.39
"2025-05-27T02:44:22.622Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0015,1.0234,-0.43,-0.12,-0.12,-0.09,-0.23,55.42
"2025-05-27T02:44:22.653Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0039,0.0000,1.0283,0.00,-0.18,0.00,-0.03,-0.23,79.38
"2025-05-27T02:44:22.699Z",qWRWttfDve4AEPeePRvRbQ==,"WTL1",0.0034,0.0000,1.0283,-0.06,-0.12,0.00,-0.03,-0.23,79.38
"2025-05-27T02:44:22.700Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0044,-0.0015,1.0234,-0.49,-0.12,-0.12,-0.09,-0.23,55.42
"2025-05-27T02:44:22.724Z",3kIo/mNlPgTrJYjBCYu1YQ==,"WTR1",0.0039,-0.0015,1.0239,-0.49,-0.12,-0.18,-0.09,-0.23,55.42